config,ptau,construction_recall,ef,search_recall,qps,search_dist_comps,search_time_sec
No filter,1.00,0.783193,10,0.4027,3253.5,229069,0.3074
No filter,1.00,0.783193,20,0.4714,2149.1,360010,0.4653
No filter,1.00,0.783193,50,0.5616,1125.2,650487,0.8887
No filter,1.00,0.783193,100,0.6241,798.8,1010375,1.2519
pτ=0.99,0.99,0.783110,10,0.4046,3036.9,229182,0.3293
pτ=0.99,0.99,0.783110,20,0.4720,1715.8,359621,0.5828
pτ=0.99,0.99,0.783110,50,0.5591,987.2,649841,1.0130
pτ=0.99,0.99,0.783110,100,0.6224,641.9,1010447,1.5579
pτ=0.95,0.95,0.775488,10,0.3995,2832.1,229636,0.3531
pτ=0.95,0.95,0.775488,20,0.4733,1796.1,361789,0.5568
pτ=0.95,0.95,0.775488,50,0.5597,1011.9,651537,0.9883
pτ=0.95,0.95,0.775488,100,0.6243,642.4,1012077,1.5567
pτ=0.90,0.90,0.762561,10,0.3994,2896.4,228440,0.3453
pτ=0.90,0.90,0.762561,20,0.4693,1786.9,360206,0.5596
pτ=0.90,0.90,0.762561,50,0.5584,960.8,651145,1.0408
pτ=0.90,0.90,0.762561,100,0.6207,672.4,1011348,1.4872
pτ=0.80,0.80,0.732980,10,0.3984,2729.7,228966,0.3663
pτ=0.80,0.80,0.732980,20,0.4681,1768.0,362520,0.5656
pτ=0.80,0.80,0.732980,50,0.5588,959.3,655090,1.0424
pτ=0.80,0.80,0.732980,100,0.6200,661.3,1017721,1.5121
